,Amda,Augmix,Batch Size,DeepAugment,Epochs,Hydra Amda,Hydra Loss,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,LearningRate,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Teacher,Temperature,WeightDecay
0,False,True,,False,90,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-05-23/16-05-19/0,,,,1.0,,,,,0.0002
300,False,True,,False,100,,,27.68999934196472,40.50620794296264,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.5/crd_0.0/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
300,False,True,,False,100,,,28.179997205734253,40.9212589263916,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.2/crd_0.0/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
300,False,True,512.0,False,100,,,25.099998712539673,36.26599907875061,,0.1,StandardLoss,resnet50,/work/dlclarge2/agnihotr-shashank-pruneshift/runs_supcon/cifar100_resnet50/kd_augmix/classification_am,,,,1.0,KD_SupCon,False,,0.07,0.0002
300,False,True,,False,100,,,25.029999017715454,37.16800212860107,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.1_augmix_1.0/prune_ratio_2,,L¹ Filter,2,1.0,,,custom,,0.0002
180,True,True,,True,60,,,61.01999878883362,74.46613311767578,85.36601066589355,0.1,StandardLoss,mobilenet_v2,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/workshop/missing_stuff/random_channels/mobilenet_v2/2,0.75,Random Filter,4.0,1.45,,,,,0.0002
300,False,True,,False,100,,,24.43000078201294,36.00178956985473,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_1.0_augmix_0.4/prune_ratio_1.7,,L¹ Filter,1.7,1.0,,,custom,,0.0002
90,True,True,,True,30,,,17.3799991607666,36.0701322555542,57.56596028804779,0.021,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_6_mixture_0.2_lr_0.021_decay_0.0001/1,,,,1.0,,,AMDA ResNet50,,0.0001
8,True,True,,True,30,,,,,,0.01,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs/kd_adma_analysis/1,0.5,L¹ Filter,2.0,1.45,,,AMDA ResNet50,,0.0002
90,True,True,,True,30,,,13.660001754760742,31.92320466041565,54.72710728645325,0.057,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_5_mixture_0.9_lr_0.057_decay_4e-05/0,,,,1.0,,,AMDA ResNet50,,4e-05
90,True,True,256.0,True,30,True,KnowledgeDistill,14.639997482299805,31.27226829528808,55.61303794384003,0.035,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_6_mixture_0.1_lr_0.035_decay_2e-05/finetune/1,,,20,1.0,KnowledgeDistill,True,AMDA ResNet50,,2e-05
0,False,False,,True,5,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-05-19/21-47-18,,,,1.0,,,,,0.0002
300,False,True,,False,100,,,25.56999921798706,36.34147644042969,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.8/crd_0.2/prune_ratio_1.5,,L¹ Filter,1.5,1.0,,,custom,,0.0002
8,True,True,,True,30,,,,,,0.01,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs/kd_adma_analysis/4,0.5,L¹ Filter,2.0,1.45,,,AMDA ResNet50,,0.0002
90,True,True,,True,30,,,16.860002279281616,37.73840069770813,58.645886182785034,0.007,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_3_mixture_0.7_lr_0.007_decay_4e-05/1,,,,1.0,,,AMDA ResNet50,,4e-05
300,False,True,,False,100,,,24.720001220703125,35.82684397697449,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.4_augmix_0.6/prune_ratio_1.5,,L¹ Filter,1.5,1.0,,,custom,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,17.04000234603882,35.88560223579407,58.28375518321991,0.069,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_6_mixture_0.5_lr_0.069_decay_1e-05/finetune/2,,,40,1.0,KnowledgeDistill,True,AMDA ResNet50,,1e-05
30,False,True,,False,10,,,51.53000056743622,61.27241849899292,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/debug/debug_val_split,,,,1.0,,,,,0.0002
300,False,True,,False,100,,,24.870002269744873,35.30758023262024,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_0.8/prune_ratio_1.3,,L¹ Filter,1.3,1.0,,,custom,,0.0002
300,False,True,,False,100,,,25.540000200271606,47.66473770141601,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.0_augmix_0.0/prune_ratio_1.7,,L¹ Filter,1.7,1.0,,,custom,,0.0002
90,True,True,,True,30,,,16.90000295639038,36.55812740325928,58.742886781692505,0.069,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_6_mixture_0.5_lr_0.069_decay_1e-05/1,,,,1.0,,,AMDA ResNet50,,1e-05
90,True,True,,True,30,,,10.96000075340271,25.762128829956048,50.57553052902222,0.1,AttentionDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/combined/at_l1_channels_resnet18_amda/8,0.1,L¹ Filter,1.1111111111111112,1.0,,,AMDA ResNet50,,0.0002
300,False,True,128.0,False,100,,,26.270002126693726,36.89631819725036,,0.1,StandardLoss,resnet50,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/prune_res50,,Global Weight,2.3,1.0,StandardLoss,False,,,0.0002
300,False,True,,False,100,,,24.68000054359436,36.17010712623596,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_1.0_augmix_0.6/prune_ratio_1.7,,L¹ Filter,1.7,1.0,,,custom,,0.0002
6,False,False,,False,90,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-05-20/19-44-17,,,,1.0,,,,,0.0002
90,True,True,,True,30,,,13.080000877380371,30.3920030593872,55.98810017108917,0.1,StandardLoss,mnasnet1_0,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/workshop/baselines/1times_amda/1,,,,1.0,,,,,0.0002
300,False,True,,False,100,,,24.479997158050537,35.4097843170166,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.4/crd_0.2/prune_ratio_1.5,,L¹ Filter,1.5,1.0,,,custom,,0.0002
300,False,True,,False,100,,,26.510000228881836,36.88116073608398,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_0.9/prune_ratio_1.7,,L¹ Filter,1.7,1.0,,,custom,,0.0002
90,True,True,,True,30,,,10.0600004196167,30.537331104278557,52.65778601169586,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/combined/kd_l1_channels_resnet18_amda/5,0.3,L¹ Filter,1.4285714285714286,1.0,,,SWSL ResNet50,,0.0002
183,False,False,,False,90,,,,,,0.01,AttentionDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs/at_kd_analysis/48,,,,1.0,,,AMDA ResNet50,,0.0001
90,True,True,,True,30,,,23.259997367858887,42.429065704345696,64.63398933410645,0.084,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_7_mixture_0.1_lr_0.084_decay_0.0/2,,,,1.0,,,AMDA ResNet50,,0.0
90,True,True,,True,30,,,14.660000801086426,30.855470895767212,55.65183758735657,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/workshop/subnet/layer_weight/amda/0,,Layer Weight,10,1.0,,,,,0.0002
90,True,True,,True,30,,,13.459998369216919,30.717867612838738,54.539576172828674,0.053,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_6_mixture_0.4_lr_0.053_decay_0.00015/0,,,,1.0,,,AMDA ResNet50,,0.00015
