,Amda,Augmix,Batch Size,DeepAugment,Epochs,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,LearningRate,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Temperature,WeightDecay,kd_T,kd_mixture
0,True,True,256.0,True,30,,,,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network3/25,0.25,L¹ Filter,1.3333333333333333,1.0,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,39.21999931335449,58.04026126861572,73.90067279338837,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network3/3,0.9,L¹ Filter,10.000000000000002,1.0,StandardLoss,True,,0.0002,,
90,True,True,,True,30,11.19999885559082,24.8471975326538,51.51965916156769,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/together/0,0.1,L¹ Filter,1.1111111111111112,1.0,,,,0.0002,,
90,True,True,,True,30,11.400002241134644,25.65973401069641,52.25038826465607,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/together/1,0.25,L¹ Filter,1.3333333333333333,1.0,,,,0.0002,,
90,True,True,,True,30,12.680000066757202,27.543997764587402,53.26564908027649,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/together/2,0.5,L¹ Filter,2.0,1.0,,,,0.0002,,
90,True,True,,True,30,30.91999888420105,51.89627408981323,69.43222880363464,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/together/4,0.9,L¹ Filter,10.000000000000002,1.0,,,,0.0002,,
21,True,True,,True,30,,,,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/together/redo_3,0.7,L¹ Filter,3.333333333333333,1.0,,,,0.0002,,
90,True,True,,True,30,15.479999780654907,32.2866678237915,55.94283640384674,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/together/safe_redo_3,0.7,L¹ Filter,3.333333333333333,1.0,,,,0.0002,,
126,False,False,,False,90,,,,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard,,,,1.0,,,,0.0002,,
270,False,False,,False,90,11.51999831199646,50.764262676239014,68.37170124053955,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/network1,,,,1.0,,,,0.0002,,
